,커피/Noun,가격/Noun,직원/Noun,분위기/Noun,디저트/Noun
어느/Adverb,1.8246649e-19,4.5423248e-23,5.573901e-20,2.6409415e-20,5.8288157e-22
비슷하다/Adjective,2.4841978e-16,6.8899156e-20,2.6287782e-21,2.143628e-17,1.1198945e-17
필링/Noun,4.8781714e-22,3.71708e-23,2.5834827e-23,9.8143266e-24,2.9274053e-21
신/Modifier,1.973157e-21,1.7974334e-25,1.2424718e-21,6.6854217e-22,1.1252021e-21
바닥/Noun,2.0724154e-21,5.260164e-26,8.568216e-23,2.578966e-21,1.2643634e-24
와인/Noun,2.4691546e-14,1.1993082e-20,4.5204972e-21,9.720695e-16,1.6001104e-17
바삭/Noun,6.471334e-22,1.3390653e-25,2.8995494e-24,6.4460273e-23,2.3998437e-24
경치/Noun,3.9540014e-17,1.0543888e-19,1.710874e-19,4.5167536e-15,4.3030593e-18
느리다/Adjective,9.552135e-20,4.1979404e-21,1.2182097e-18,1.8954622e-20,8.362849e-21
담다/Verb,1.6039956e-19,7.855716e-22,2.7663725e-21,5.340122e-20,7.610076e-21
대학로/Noun,3.844868e-18,8.472372e-22,1.638809e-21,1.2547823e-17,4.0888277e-19
신맛/Noun,1.5936829e-18,9.580041e-22,1.0267299e-22,2.9708877e-20,2.802336e-21
은/Noun,4.229903e-18,5.268629e-22,7.90985e-20,5.3589806e-19,8.91896e-22
끼/Noun,2.62847e-19,3.893524e-21,1.0841592e-19,4.1416342e-20,2.2814665e-21
한잔/Noun,8.238355e-19,1.0757081e-22,3.5123018e-22,9.209045e-19,2.270266e-22
저희/Noun,7.9617716e-19,1.7031217e-23,2.0648508e-18,6.0814894e-20,4.054515e-20
한적하다/Adjective,2.2735041e-17,4.070786e-21,4.5402874e-20,4.586357e-16,1.2841214e-18
카페라테/Noun,1.5720278e-14,7.9713943e-22,1.0667067e-21,2.7862648e-19,3.372577e-19
리필/Noun,3.0559457e-21,2.0985696e-24,1.282874e-24,1.73123e-22,4.0384245e-23
부족하다/Adjective,9.085066e-20,3.164616e-21,9.233236e-21,1.0623903e-20,5.629134e-21
브/Noun,1.6952804e-21,3.176038e-25,4.2300697e-23,8.653063e-22,1.6924419e-23
대한/Noun,3.998773e-20,1.8512827e-23,6.255894e-20,1.12125204e-20,1.0828189e-21
다가/Noun,7.615539e-20,1.2075236e-23,9.8615956e-20,2.0786078e-20,5.8374464e-23
힐링/Noun,1.510147e-18,3.6278193e-22,6.646092e-20,1.8518474e-16,1.9213935e-20
미리/Noun,5.011626e-20,1.4114481e-22,8.3752716e-20,2.8939402e-21,2.2061085e-21
귀찮다/Adjective,6.97927e-21,5.596428e-25,1.989773e-19,6.927248e-23,6.170604e-24
창가/Noun,1.0846875e-21,1.7279605e-26,7.4559895e-23,1.1358071e-20,4.1120588e-25
한번/Noun,3.493536e-17,6.727942e-22,2.5835261e-20,1.8624792e-18,4.705999e-18
정성/Noun,1.8443435e-19,1.165872e-22,3.3056896e-21,1.0295912e-18,1.2313224e-21
겉/Noun,1.3637045e-20,1.2738335e-23,7.677892e-23,5.7477182e-21,1.1523338e-21
모카/Noun,5.1441965e-18,1.0468719e-23,4.9251764e-23,3.6532926e-20,7.7767695e-20
성/Noun,4.4774744e-20,5.8629736e-24,4.694192e-22,1.2196652e-18,9.214758e-22
운/Noun,1.00600446e-20,1.8517754e-25,1.3619302e-22,3.8562766e-20,2.0643191e-22
대신/Noun,6.9490557e-16,7.50251e-19,4.3663248e-17,3.6784433e-16,1.173053e-17
얼마/Noun,1.133486e-22,3.107911e-27,1.03553235e-23,3.464541e-23,3.2274337e-24
마인드/Noun,2.0637047e-22,9.0804645e-26,5.117787e-20,9.4312247e-23,1.8127075e-23
흑/Adverb,5.436373e-21,1.1706924e-25,2.7317415e-24,1.186805e-22,1.0152434e-24
짐/Noun,4.4304493e-18,7.960002e-21,5.1548584e-20,3.0784149e-18,7.776955e-18
준비/Noun,2.0010212e-21,4.868219e-25,1.7103763e-21,6.872557e-22,7.0884946e-23
지/Modifier,4.6657753e-20,5.355023e-24,3.6780394e-22,3.3571192e-21,4.765987e-22
소품/Noun,9.75028e-19,1.7360438e-23,2.500821e-21,7.456895e-17,4.3399482e-20
나중/Noun,2.6576496e-18,4.663401e-23,2.4880906e-20,1.602735e-20,6.929744e-20
일찍/Noun,1.3170919e-20,4.785441e-23,3.8601292e-22,7.6872815e-20,8.926993e-22
힘드다/Adjective,4.5489236e-19,7.43376e-21,9.506395e-22,3.8222574e-19,3.9817857e-20
본인/Noun,1.7039644e-18,2.1131842e-22,4.3888354e-17,1.3356149e-20,2.3824526e-21
마들렌/Noun,1.5428324e-16,6.755592e-21,2.7239633e-20,6.7101425e-18,4.6818666e-16
원하다/Adjective,2.6673478e-19,8.554267e-24,1.132134e-21,3.1828125e-21,9.032842e-22
망고/Noun,5.2248445e-19,1.1018775e-22,5.9295567e-22,6.1216127e-21,1.9053724e-20
강/Noun,9.1996e-19,1.6039748e-22,4.1968515e-21,8.377737e-19,5.121242e-21
인사/Noun,4.408807e-23,4.242347e-25,4.4177054e-19,5.0081018e-23,6.1082333e-25
카눌레/Noun,1.8652427e-13,2.167884e-20,3.049605e-17,7.118059e-15,1.5825091e-14
애/Noun,9.670565e-19,5.231695e-23,8.0164535e-17,5.354243e-18,1.3984963e-19
서/Modifier,1.01251146e-19,2.0501584e-25,3.583952e-23,2.7869954e-21,3.803213e-22
판매/Noun,3.9313942e-18,2.6080522e-21,1.8599134e-21,3.8559702e-19,2.6203295e-20
여전하다/Adjective,5.3677143e-20,4.195214e-23,2.1325488e-20,1.7406693e-19,7.740599e-21
길다/Adjective,4.9043383e-19,9.479242e-21,1.2776124e-19,2.8192467e-20,2.5717534e-22
궁금하다/Adjective,3.6974477e-17,2.8161713e-21,1.9630526e-20,2.9891805e-19,1.6644468e-19
확인/Noun,8.1612086e-22,5.444311e-25,4.2585047e-21,3.5757055e-22,2.8217712e-23
조명/Noun,1.3904685e-20,9.775323e-23,2.0644223e-21,1.6325237e-16,3.699839e-21
일행/Noun,4.9985337e-18,4.747766e-23,1.2679076e-18,3.1636293e-19,2.2707295e-18
너무나/Adverb,3.941657e-15,5.842601e-20,1.9201865e-18,2.6529525e-16,4.340499e-18
익선동/Noun,1.0708914e-18,4.103637e-21,6.945112e-22,3.9111403e-18,6.049558e-20
감자/Noun,2.39188e-19,5.9558506e-23,2.5605645e-22,5.980972e-20,1.6645095e-20
배/Noun,4.6824643e-20,1.9007824e-22,7.421374e-22,3.389211e-21,7.244075e-20
붐비다/Verb,1.9544365e-21,3.0545306e-24,9.0556417e-23,2.9446887e-20,7.273855e-24
꽃/Noun,1.5856222e-20,1.2211879e-25,1.535993e-21,1.9389017e-21,7.5596977e-22
그럭저럭/Adverb,8.558635e-14,1.5209749e-19,9.593149e-19,1.0350311e-15,8.3821163e-19
울리다/Verb,3.1416882e-22,5.8520917e-24,8.377249e-21,6.5055687e-21,2.2962362e-24
줄다/Verb,2.8842214e-20,1.547249e-21,4.2355196e-19,2.813821e-20,2.3402686e-22
뭘/Noun,2.3905029e-19,1.5369695e-24,4.9782437e-20,2.1025071e-21,2.065202e-21
좋아지다/Verb,7.3175085e-20,6.705359e-25,1.1540362e-21,9.828691e-21,9.174318e-22
인사동/Noun,1.0950356e-21,5.821138e-26,3.2012047e-25,1.7245605e-21,1.396511e-22
꾸미다/Verb,3.603656e-21,5.829188e-24,1.8338523e-22,7.875592e-19,1.447463e-22
대가/Noun,1.25653824e-20,1.6978569e-20,1.9306258e-23,2.7384347e-20,1.2689606e-21
안되다/Adjective,3.9408177e-21,2.7438876e-24,5.499595e-21,1.8428366e-21,1.4935413e-22
아직/Adverb,1.1510747e-18,1.5996663e-23,1.7421231e-20,3.4543749e-18,5.873907e-21
그게/Noun,3.720879e-17,5.402613e-21,1.8019714e-17,1.7614842e-18,5.2688953e-20
아쉬움/Noun,7.079561e-20,8.877587e-21,1.1494713e-21,7.6914805e-19,9.92621e-20
그냥/Modifier,1.9699767e-20,5.0682933e-24,2.1437114e-23,5.5083114e-20,4.4434414e-21
차도/Noun,2.5026707e-15,3.2634262e-22,3.8888058e-20,5.676375e-15,5.7390923e-19
가로수길/Noun,6.121368e-17,5.2427308e-20,2.0999272e-20,1.0113163e-16,2.4938325e-18
경우/Noun,3.4532254e-20,2.3906619e-23,1.215493e-20,5.469468e-21,3.6780535e-22
가득/Noun,6.128979e-19,7.7127005e-25,1.9820051e-22,5.3651138e-20,1.4163778e-22
떠들다/Verb,1.3078946e-20,6.204902e-24,6.7769415e-20,4.4723205e-19,2.9708396e-22
리저/Noun,2.0561297e-22,6.022048e-26,4.938421e-23,3.2719772e-22,1.9309049e-24
아무리/Adverb,2.4660856e-18,7.497836e-22,1.4603265e-19,1.1104325e-19,1.2234203e-19
빈/Noun,4.8800426e-18,4.46146e-22,5.8857495e-21,2.7320624e-18,8.008189e-20
디자인/Noun,5.830031e-17,1.8096704e-20,1.3891656e-18,2.4953207e-15,5.5316034e-19
젤/Noun,3.2875625e-17,2.0105475e-21,3.193419e-20,6.037438e-18,1.2020938e-19
확실하다/Adjective,9.7352e-17,4.0897284e-21,7.147559e-21,2.5738309e-17,1.4043355e-17
작고/Noun,9.3574154e-20,5.5680386e-19,2.3991713e-20,1.4705357e-17,1.2296096e-20
글/Noun,1.1734311e-21,6.067831e-23,6.310852e-21,6.810288e-22,6.526915e-23
접시/Noun,6.5920756e-22,3.3682852e-25,6.089718e-24,2.2022299e-23,1.965304e-24
하/Exclamation,3.095016e-19,8.087783e-23,1.4145334e-19,2.1983637e-20,5.2375083e-22
엄청나다/Adjective,2.0863245e-17,4.8177796e-19,1.22553285e-17,3.2259894e-19,1.5376603e-18
매일/Noun,6.738744e-18,3.9214707e-22,8.293907e-21,2.0849858e-19,1.1981662e-18
필요하다/Adjective,3.115366e-19,1.1323407e-22,2.3685647e-18,1.9245122e-19,3.0059896e-19
사이즈/Noun,5.262129e-19,3.092489e-20,5.896107e-22,1.4721275e-20,3.0420365e-20
세다/Verb,6.8761074e-19,2.315955e-20,1.8928519e-22,1.12906e-19,2.5140702e-20
인절미/Noun,3.3287617e-19,7.211918e-22,1.5241793e-21,1.6568322e-19,1.8005946e-20
무화과/Noun,3.9606136e-17,6.777374e-22,6.956411e-21,1.0939892e-18,2.3445344e-19
이후/Noun,2.5360135e-19,1.818921e-23,4.180904e-21,2.2508142e-20,3.0358808e-20
유명/Noun,9.025105e-19,7.6720406e-22,1.4513166e-22,5.6863084e-20,1.9155235e-21
다녀오다/Verb,7.295275e-18,1.7180008e-21,4.3203928e-19,3.840736e-17,8.5007775e-19
깔다/Verb,4.681323e-19,1.03965675e-23,1.0587619e-19,2.8929072e-18,3.181742e-22
전망/Noun,8.892754e-17,6.5487934e-21,1.0087752e-20,6.6190615e-15,1.6238884e-18
설빙/Noun,5.539229e-18,2.2604243e-21,9.393922e-22,4.1353353e-20,9.281696e-19
모습/Noun,8.256221e-20,8.9699946e-24,1.2968362e-19,1.5135714e-20,3.298057e-21
나무/Noun,1.0117967e-20,1.4910178e-24,1.0855728e-22,7.118234e-19,1.9178475e-22
얼다/Verb,9.2865394e-21,5.288397e-24,4.6934195e-23,6.691501e-20,1.8683615e-21
에어컨/Noun,4.724593e-20,1.2329105e-22,2.0393772e-19,3.321289e-20,1.630471e-22
하니/Noun,1.2177138e-16,1.7776476e-22,1.3801612e-16,2.575105e-19,1.0048352e-19
당황/Noun,1.090613e-20,9.754023e-22,2.4780703e-19,3.289477e-20,1.270215e-21
머리/Noun,8.8162565e-23,8.668569e-27,4.3342548e-21,1.5090267e-22,1.4415591e-25
구성/Noun,6.073314e-17,4.3928196e-18,1.1965384e-21,1.3198962e-16,2.2481917e-17
사이/Noun,2.2524742e-18,1.6199069e-22,1.378033e-20,1.8236987e-18,2.7950233e-21
만/Modifier,9.528339e-19,6.0781195e-22,2.2420454e-22,4.630276e-21,3.9935595e-20
프랜차이즈/Noun,1.4885974e-16,1.3974403e-19,8.91808e-21,2.8276845e-17,1.8836944e-17
가도/Noun,2.521997e-18,1.0987721e-21,2.0606232e-20,5.3480954e-19,4.3918098e-20
놈/Noun,3.2629737e-17,2.5825618e-19,2.8771805e-18,8.4255955e-17,5.793975e-19
조화/Noun,7.419521e-18,2.949925e-22,4.155289e-21,1.2630705e-18,5.714615e-22
진심/Noun,1.3777151e-16,5.12771e-22,1.4105412e-18,7.5523596e-19,5.876891e-20
무료/Noun,1.3242357e-20,2.1539085e-23,2.6366405e-22,1.0525878e-20,6.841478e-23
별개/Noun,2.3050897e-18,1.9860193e-19,5.1901804e-19,2.212002e-18,5.690822e-20
열다/Verb,3.744453e-20,3.1535708e-25,3.623354e-21,2.0966374e-20,2.8226657e-22
넘치다/Adjective,1.0085842e-17,4.9007397e-22,8.7952415e-20,7.915835e-18,2.7856563e-21
가득하다/Adjective,4.9893702e-18,1.7234925e-24,1.5157372e-21,1.2954475e-18,1.704898e-21
지인/Noun,1.1525598e-18,7.014384e-24,9.358666e-20,3.7431838e-19,1.5691174e-20
닫다/Verb,1.7036896e-20,6.703543e-25,4.837828e-22,3.2758008e-21,3.5774521e-22
쫀득/Noun,3.7780993e-20,4.7886186e-23,2.6286551e-23,1.8503749e-20,2.3625328e-21
불다/Verb,5.539247e-19,5.7560344e-21,8.739327e-19,7.677786e-20,1.1313741e-21
충분하다/Adjective,7.960622e-18,1.2693394e-19,4.092276e-19,8.531612e-18,2.5557172e-20
꽉/Noun,3.033541e-21,2.8455273e-25,7.215791e-24,1.03198876e-20,6.631845e-24
웃다/Verb,2.4135936e-19,3.8078107e-24,9.4708024e-17,2.306706e-20,6.817377e-24
풍경/Noun,3.843533e-18,1.0274273e-22,3.5449743e-20,1.5458612e-15,1.9612425e-19
일부러/Noun,1.311919e-17,2.5280533e-20,1.1328047e-19,1.4907438e-18,3.3245611e-19
협소/Noun,7.8217465e-22,4.913298e-23,2.4236094e-22,1.1395692e-21,8.9519454e-24
잼/Noun,3.2186896e-18,1.5430858e-23,3.0085772e-22,2.0693986e-20,7.2018635e-20
똑같다/Adjective,7.7689165e-19,2.8231504e-22,1.233438e-21,3.7249778e-20,2.826277e-21
허다/Verb,1.0075719e-19,1.2073539e-22,1.3582678e-21,1.2763605e-19,3.6598567e-23
계절/Noun,7.6698235e-20,5.223155e-25,1.6702184e-23,4.3796494e-19,1.9030707e-19
북적/Noun,2.45853e-21,3.7481057e-23,1.1329203e-21,1.05071086e-19,4.0599878e-23
뻐/Noun,1.2959497e-21,8.9010726e-24,3.3696914e-22,7.2031004e-20,8.9129986e-24
터지다/Verb,1.4979199e-19,3.587931e-24,4.868024e-21,1.662302e-19,1.3127524e-21
죄송하다/Adjective,5.967822e-20,1.9237953e-24,4.3152726e-18,5.4431174e-21,2.3961529e-20
피자/Noun,6.338991e-19,8.0332653e-23,2.7936067e-20,9.223214e-19,4.0242366e-20
덕분/Noun,4.496696e-20,1.5525973e-24,1.2993369e-19,8.025472e-19,1.2604543e-22
싫어하다/Adjective,5.664207e-19,1.1829271e-22,1.6299069e-20,7.2248645e-21,7.021221e-21
블루베리/Noun,5.8283797e-19,6.2933436e-23,1.131119e-22,1.4604929e-20,1.4770606e-20
만하/Noun,4.6469336e-18,3.6231743e-21,2.635244e-21,2.0710425e-19,3.5392704e-21
센스/Noun,1.4327494e-17,5.3577894e-21,1.051699e-16,1.1846202e-15,1.6460972e-19
중요하다/Adjective,3.4822333e-21,1.4388135e-23,1.0390948e-21,2.5059015e-21,1.8840129e-22
그만큼/Adverb,5.8346343e-18,1.4154619e-19,3.1586234e-20,1.6981567e-18,6.9692965e-20
노/Noun,2.7409993e-17,5.114426e-22,3.3541786e-19,1.0292338e-18,4.5050234e-20
기도/Noun,9.390284e-19,6.1863987e-23,2.7100246e-19,4.020729e-17,8.9067585e-21
옴/Noun,1.0787606e-16,1.8538925e-21,1.2171553e-18,2.698225e-18,1.4340937e-18
홀/Noun,9.811432e-19,3.2665897e-22,4.937039e-18,2.3910696e-18,1.6215789e-19
제발/Noun,2.7031172e-19,1.08292506e-23,7.5762765e-20,1.4381909e-19,1.8409123e-20
칵테일/Noun,1.5406042e-15,1.3377936e-18,1.7728084e-19,8.2684355e-16,9.599491e-17
걱정/Noun,5.8536025e-19,7.757093e-21,4.2634043e-18,3.4653824e-18,1.5884191e-20
보이/Noun,1.7295637e-18,1.324295e-22,8.6391255e-19,5.6489976e-18,8.96755e-20
의/Noun,2.2664633e-18,1.8004563e-21,1.4818061e-21,2.2094783e-20,2.2325806e-22
차이/Noun,1.2594284e-18,3.5612218e-22,2.0412273e-21,2.9517514e-20,1.0860912e-21
코스/Noun,9.057591e-20,5.9670646e-22,2.440689e-23,4.082451e-20,9.736856e-20
자꾸/Noun,1.5530403e-18,4.57106e-22,6.3313994e-20,5.1561757e-20,6.989771e-20
대해/Noun,1.6826026e-19,1.5740908e-23,8.39153e-17,1.516999e-20,5.6545267e-22
첫/Noun,7.363123e-20,5.7706236e-24,2.7046306e-21,1.814689e-20,1.4680378e-22
면/Noun,5.83852e-14,4.6578305e-18,3.5823634e-17,7.880686e-15,2.4195326e-17
아프다/Adjective,1.1649269e-19,3.2713426e-21,3.8695114e-19,1.3976117e-18,1.6966906e-21
빠지다/Verb,4.6090956e-20,1.3256635e-24,6.583406e-22,1.21386655e-20,3.9439565e-23
꿀/Noun,3.618014e-18,3.34737e-24,1.9225133e-22,1.0429637e-19,4.4190515e-20
오기/Noun,1.0400046e-18,3.6010427e-22,1.1020437e-18,4.0848716e-17,1.889593e-20
담배/Noun,8.2553394e-20,3.0805318e-24,1.7142375e-20,1.4913858e-19,2.5856813e-23
겁나다/Verb,7.255314e-17,3.1537233e-20,1.7657034e-17,5.8889004e-19,1.892991e-20
묻다/Verb,1.0746527e-17,2.2284026e-22,3.0813737e-19,2.0483981e-19,2.4335616e-20
프린스/Noun,8.8123985e-21,1.6339997e-24,8.0916713e-23,4.150584e-21,1.3901277e-22
말씀/Noun,1.1358256e-18,9.8000405e-23,6.307811e-16,2.4880918e-19,3.1435361e-21
행복하다/Adjective,3.8014964e-17,1.2391194e-23,1.6942216e-19,1.2723221e-17,1.2429703e-20
다소/Noun,2.5794099e-20,1.0991751e-20,1.5767065e-21,7.619985e-20,2.5120746e-21
그릇/Noun,6.3469e-20,2.6855056e-23,1.5165254e-19,2.6191603e-20,3.3796167e-22
바라다/Verb,3.5933504e-19,5.0324597e-24,6.815266e-18,1.9966237e-19,7.059381e-22
준/Noun,8.682844e-17,3.9398407e-21,2.092828e-18,8.975117e-19,1.678678e-20
특색/Noun,1.447129e-18,3.5024564e-21,1.2445732e-21,2.5302954e-17,4.692173e-20
진/Noun,5.387148e-17,8.510177e-21,1.7543082e-19,2.3754414e-18,7.7491743e-19
아보카도/Noun,2.4868107e-19,7.300521e-22,1.14603e-21,1.4314579e-20,6.4795384e-21
결국/Adverb,4.295901e-21,3.8476708e-25,1.0474806e-20,5.759675e-23,1.6533887e-22
코코넛/Noun,6.96282e-18,9.109279e-22,2.4070261e-21,8.7678056e-20,7.758403e-19
일/Modifier,1.442181e-17,4.0309335e-21,7.809148e-19,3.2902834e-18,4.549912e-19
전문점/Noun,4.443569e-17,4.5920746e-19,2.1665767e-21,9.8716164e-18,1.4983093e-18
점도/Noun,1.29045685e-17,9.03909e-20,9.009591e-19,1.4639471e-18,1.0969764e-19
기준/Noun,5.857697e-17,1.9969416e-21,7.773952e-20,4.639828e-19,7.3217536e-20
베리/Noun,9.335423e-19,4.0045084e-22,2.5358825e-23,1.2675443e-19,1.9595149e-19
멀다/Adjective,3.1941776e-18,8.193029e-21,6.2853396e-20,2.2627498e-17,5.602725e-19
재미있다/Adjective,4.442436e-16,5.9700505e-21,3.2259912e-18,3.714813e-15,2.2431437e-19
얼굴/Noun,1.8772262e-22,1.3239076e-27,6.4634524e-18,3.562443e-23,3.8913057e-24
불쾌하다/Adjective,3.3784085e-20,3.4971924e-23,1.2163157e-17,9.261461e-20,1.9807341e-23
수/Modifier,3.4262508e-18,4.432046e-22,1.9597149e-21,1.5804306e-18,1.2242787e-20
춥다/Adjective,1.6480389e-19,2.9510378e-23,6.299361e-19,1.2903632e-17,8.199814e-21
실망하다/Adjective,6.3543234e-17,1.972556e-20,7.9088845e-20,1.3088599e-17,3.3528515e-17
엄마/Noun,1.5883532e-19,1.1232154e-23,3.2854764e-20,1.3610961e-19,3.6917325e-21
걸다/Verb,7.3999293e-19,4.358813e-20,3.5044095e-20,2.7309148e-19,3.3456787e-20
거나/Noun,4.817396e-18,1.7022261e-22,1.304841e-18,5.783382e-17,4.3691866e-19
종로/Noun,1.4401344e-19,1.8357972e-23,4.0129388e-20,1.7664781e-17,3.0060323e-21
가져가다/Verb,2.1111155e-20,2.7413674e-23,3.535858e-20,1.6319404e-21,4.9065038e-21
정리/Noun,1.7780554e-21,1.6245148e-25,5.3116734e-22,5.655223e-20,3.438447e-22
메뉴판/Noun,4.6460247e-20,3.7742206e-22,3.3039406e-19,1.448078e-19,4.6562116e-19
크루아상/Noun,4.0404094e-17,1.0791318e-22,7.4014984e-22,1.4858612e-18,1.24810834e-17
히/Adverb,2.4851332e-18,1.9740199e-24,1.5533596e-19,2.1337552e-18,9.237746e-21
간다/Noun,3.711875e-18,6.5248298e-21,5.977984e-20,3.2967392e-19,8.945712e-21
시작/Noun,6.825409e-19,2.2376513e-24,4.4783555e-23,9.215888e-21,3.7486226e-22
소금/Noun,8.883562e-18,6.96193e-22,7.4271514e-22,6.774256e-19,1.1141118e-18
변하다/Adjective,1.4115801e-18,5.996746e-24,1.0714664e-20,1.5299297e-20,4.0855472e-22
전시/Noun,3.2310899e-18,9.881835e-24,1.0316807e-22,4.86456e-18,5.0331365e-22
로스팅/Noun,6.563913e-17,1.1031687e-22,2.2345339e-20,7.654684e-20,1.4547159e-20
켜다/Verb,3.4254928e-18,1.1917695e-20,5.397546e-21,6.7207954e-19,1.2346354e-18
작/Noun,9.142121e-19,1.2298583e-20,1.2792754e-19,3.2265356e-16,2.0414174e-18
대부분/Noun,7.7595693e-16,3.8875747e-20,1.2249668e-18,5.969926e-17,1.3116345e-16
반/Noun,2.6141035e-17,1.6739278e-19,9.151323e-21,1.8462942e-18,8.160655e-20
브루/Noun,3.8471287e-17,1.9444494e-21,1.8933369e-21,3.9563942e-20,1.5831321e-20
부담/Noun,4.0656664e-20,5.797479e-23,2.4729575e-22,1.8194382e-19,1.9440496e-20
빵집/Noun,2.7166424e-16,7.010095e-19,1.587976e-21,3.510889e-18,1.9011634e-18
매번/Noun,2.1086147e-18,9.852599e-22,2.795902e-18,1.7126183e-18,2.2412804e-18
듣다/Verb,1.2147056e-19,1.0914603e-23,9.36638e-20,3.8297739e-19,2.257909e-20
영/Noun,2.3612955e-16,3.2633797e-20,2.3729428e-17,8.3519943e-17,3.5889118e-19
카드/Noun,3.5231597e-21,3.1762942e-24,2.2897594e-20,3.8528743e-23,3.9682062e-24
통/Noun,7.6791886e-21,1.3167326e-24,5.81762e-22,8.976199e-22,1.9982742e-22
타/Noun,2.6593347e-17,1.8850447e-18,9.615057e-19,6.4513086e-18,1.9689045e-18
구매/Noun,1.8317456e-17,8.175265e-21,8.2688324e-19,2.6472266e-19,5.731016e-20
치우다/Verb,8.825312e-22,2.44254e-25,2.1746415e-21,2.360523e-22,6.2211835e-24
모기/Noun,4.153722e-20,4.911836e-23,8.867504e-20,4.1876945e-18,8.4144326e-21
양은/Noun,1.7841314e-19,5.0631084e-19,1.6920627e-21,6.005572e-20,1.7362922e-19
그거/Noun,7.864907e-18,3.5843486e-23,6.590872e-21,7.301532e-20,8.4200516e-21
외부/Noun,4.2904498e-20,4.5821083e-23,5.083094e-21,1.9853696e-17,9.197164e-22
집중/Noun,1.1834801e-18,8.3824875e-22,2.415674e-20,6.72734e-18,1.3277663e-20
가루/Noun,1.0204805e-18,1.2264838e-22,7.4310584e-23,9.681438e-22,3.1290136e-20
이번/Noun,1.1558278e-16,6.4079073e-22,1.0853142e-18,8.999428e-18,1.1984717e-19
지키다/Verb,3.137968e-19,2.0961543e-23,2.0288706e-19,4.172175e-20,4.5802806e-20
주/Modifier,1.0828375e-17,1.039821e-20,8.0139393e-19,2.7571057e-18,9.476859e-20
아몬드/Noun,4.999485e-19,1.6753553e-23,3.7419363e-22,1.9522915e-20,3.2650003e-19
당연하다/Adjective,7.488418e-18,1.4643645e-20,4.939034e-19,5.5335054e-18,1.9534845e-19
습/Noun,3.3874452e-18,9.629096e-23,1.0913084e-19,7.4255805e-18,6.034162e-20
싹수없다/Adjective,1.706903e-20,6.816883e-24,6.7772615e-17,1.376483e-20,9.2777935e-21
카푸치노/Noun,3.8866784e-16,3.8422938e-22,1.440359e-20,8.555725e-19,6.6899254e-18
굽다/Verb,2.7227684e-20,1.742849e-26,2.7917276e-23,1.9101737e-22,3.167111e-24
스터디/Noun,2.961351e-19,1.2011939e-21,1.5267289e-20,2.0149815e-17,8.769738e-22
그렇지만/Conjunction,8.8260754e-17,4.4497535e-20,4.5509885e-19,2.712357e-15,3.6921467e-18
터/Noun,2.6495313e-18,1.215214e-21,1.2085254e-20,1.0039967e-18,1.6246057e-20
평균/Noun,4.927385e-19,1.3610851e-20,4.2051343e-22,1.7668469e-19,3.493651e-20
골목/Noun,6.632694e-20,1.257755e-22,2.0761026e-21,1.1717202e-17,5.8211715e-22
플레이/Noun,1.1554773e-20,6.1455384e-24,1.5973002e-23,2.5066279e-21,6.0471063e-22
플레인/Noun,2.3824939e-17,9.908613e-21,8.982947e-22,4.8933475e-20,9.567086e-20
찾아오다/Verb,4.562322e-19,1.2476298e-21,3.4618646e-20,1.5062685e-19,2.663329e-21
지나다/Verb,1.4216957e-19,4.5600306e-24,6.5630735e-21,7.14249e-21,1.5082268e-22
찻집/Noun,4.3151715e-19,6.642584e-23,7.58494e-23,2.1561429e-17,1.8412986e-20
펄/Noun,6.8489345e-19,6.6021675e-22,2.6581552e-19,1.2928051e-20,1.5232045e-19
파리/Noun,1.8322479e-18,4.6974363e-21,1.0427246e-20,1.2007966e-19,5.1179047e-20
담기다/Verb,9.0498535e-20,2.6065178e-23,2.0484027e-22,3.744939e-20,1.2478628e-21
주방/Noun,6.1663275e-22,2.9818365e-25,1.0278959e-18,1.15948645e-20,9.955702e-22
성수/Noun,1.1603605e-16,1.1494022e-19,5.073217e-20,4.9581997e-17,5.41339e-18
팀/Noun,5.3239054e-22,2.8008864e-26,2.3767611e-21,3.7341078e-22,3.7007106e-23
플/Noun,1.466019e-20,7.287805e-22,1.4409008e-23,4.858989e-21,4.0453054e-21
없어지다/Verb,1.1900535e-18,2.2992276e-22,7.730658e-20,1.3258444e-18,1.1953397e-19
달콤하다/Adjective,4.0598897e-18,2.1593958e-23,4.6749964e-23,1.3687135e-19,2.0447042e-20
맨날/Adverb,2.4562649e-18,4.9574654e-23,3.1687353e-21,1.0142201e-19,9.462226e-21
계단/Noun,4.2006356e-19,6.594264e-22,4.7985736e-20,2.62804e-18,3.9409398e-20
언제/Noun,4.18311e-19,4.4658848e-23,2.0418204e-20,6.66638e-20,3.454174e-20
다닥다닥/Adverb,2.5917289e-20,2.858095e-23,8.430626e-21,6.940514e-19,2.0763551e-22
동안/Noun,2.06255e-20,1.4100367e-24,8.2506794e-20,1.842169e-21,4.814261e-23
양갱/Noun,1.1462941e-18,3.366606e-23,1.6426072e-22,3.595721e-20,2.5451634e-18
벨벳/Noun,5.278919e-18,7.960393e-22,1.0727127e-22,4.419894e-20,1.0088213e-20
블루/Noun,4.3019922e-18,7.8402125e-21,6.485173e-22,4.2190714e-19,3.2287826e-20
유자/Noun,4.9113613e-18,1.24624435e-23,1.9179864e-22,1.0459082e-19,1.4804953e-21
