,커피/Noun,가격/Noun,직원/Noun,분위기/Noun,디저트/Noun
훌륭하다/Adjective,3.151443e-17,7.504911e-20,7.445144e-20,2.0020636e-17,1.4774446e-19
세트/Noun,2.3710843e-20,2.2330406e-22,5.5341035e-23,1.9943161e-20,1.7302226e-19
콘센트/Noun,1.6098296e-21,1.2542752e-24,1.9685784e-21,3.7760944e-21,1.4761692e-22
멋지다/Adjective,3.5760424e-17,8.2272834e-23,9.0000714e-20,2.5908446e-16,2.0761671e-20
가요/Noun,2.8071234e-18,1.6791888e-22,8.877324e-19,4.0491696e-19,3.2795537e-20
에스프레소/Noun,3.2674847e-16,1.01961465e-22,1.2345576e-22,3.1803882e-19,2.5844526e-20
신기하다/Adjective,5.9807247e-19,5.149684e-22,2.2803626e-20,3.1569282e-18,5.410058e-21
찌다/Verb,1.2769358e-18,2.1709507e-23,2.413645e-22,3.168326e-20,5.2930896e-20
라면/Noun,5.4204105e-20,9.258899e-24,1.6133453e-22,2.394508e-20,2.6764458e-22
대화/Noun,7.699844e-20,7.217966e-24,6.264245e-22,3.954407e-18,8.808059e-22
만족하다/Adjective,2.1494325e-18,2.469281e-22,3.4181815e-19,3.708634e-18,4.058791e-18
되게/Adverb,8.0517337e-16,2.1150089e-20,6.841395e-17,2.7061663e-15,2.814953e-17
스타일/Noun,3.4055954e-19,7.695661e-23,9.633394e-23,1.115574e-19,5.4764833e-21
할인/Noun,4.0928186e-21,7.8616773e-23,9.438273e-24,1.4289848e-22,1.7088932e-24
거기/Noun,2.8998791e-18,1.6333961e-23,2.0573176e-19,2.3476862e-18,1.6373421e-19
추다/Verb,5.923301e-20,2.1426916e-21,1.3550702e-20,4.802241e-18,2.389616e-21
표정/Noun,7.096148e-24,3.4130712e-28,1.93261e-21,3.6317338e-24,3.0413065e-27
대/Modifier,6.668799e-19,1.01095075e-22,2.1863041e-20,7.2875355e-20,1.2272807e-20
눈치/Noun,8.2460695e-24,1.1124085e-26,5.8037053e-20,3.559468e-23,8.685825e-25
건강하다/Adjective,7.2580235e-18,1.0343254e-21,1.8879059e-21,1.7178406e-17,4.3532175e-18
토스트/Noun,1.1527313e-18,1.5100805e-22,1.0152836e-21,5.5563014e-20,5.236817e-19
부분/Noun,2.3860556e-20,1.8433427e-21,3.1317466e-21,3.5915946e-20,1.2877495e-21
낮/Noun,9.843469e-22,3.9356268e-25,4.3387045e-21,1.553306e-19,1.238426e-21
가깝다/Adjective,4.0171853e-18,8.874795e-24,1.8185491e-20,5.5971524e-18,6.859675e-21
보기/Noun,1.09118517e-16,5.786835e-21,1.8926238e-19,1.7326823e-16,7.431439e-20
자몽/Noun,3.7027515e-19,6.994695e-23,4.6194385e-23,5.3038023e-20,2.5535134e-21
바리스타/Noun,4.0069136e-19,4.5230602e-24,5.227262e-17,9.414166e-20,6.766705e-22
얼그레이/Noun,7.5375944e-19,1.5726692e-22,1.4758329e-20,6.678779e-19,8.689132e-19
인상/Noun,1.6042466e-19,4.831097e-22,1.7583272e-20,8.180572e-20,3.2695445e-22
구경/Noun,5.928457e-19,1.327192e-23,1.0979174e-21,1.0909641e-17,1.1778215e-21
늘다/Verb,3.7207232e-17,6.7568256e-22,3.147619e-19,9.5061614e-18,1.4571541e-20
덥다/Adjective,1.4496201e-19,3.9697243e-22,4.5755657e-20,3.926029e-18,3.428024e-21
굿굿/Noun,1.7172961e-14,4.4516746e-19,2.1880335e-18,1.08599144e-14,1.7572703e-17
샷/Noun,1.3116932e-18,2.5714873e-23,1.6133507e-23,2.4254302e-23,9.161618e-23
한국/Noun,7.604689e-18,1.4478383e-22,1.08260526e-19,3.238049e-18,1.8711297e-20
지나가다/Verb,7.294015e-20,1.3674946e-23,6.3438707e-21,4.633299e-20,1.0569604e-22
겨울/Noun,8.3375013e-19,4.5707764e-24,1.7138508e-21,8.369208e-19,3.0810063e-21
오랜/Modifier,3.0828154e-22,4.3020707e-27,1.965814e-24,6.5536883e-22,2.6980535e-23
오후/Noun,5.9558074e-22,4.8752223e-26,3.2271573e-20,6.426564e-21,5.797586e-24
크기/Noun,1.05212676e-19,3.018722e-19,2.6832746e-22,2.063952e-19,5.234295e-21
참고/Noun,3.2563056e-19,3.0956722e-22,6.506193e-20,2.440944e-20,1.3343477e-19
말투/Noun,2.2417619e-23,3.6622393e-26,5.7556253e-18,2.728806e-23,1.3900307e-24
폴/Noun,2.6148174e-20,3.2346546e-25,1.6826111e-24,1.151534e-21,5.7390333e-24
스럽다/Adjective,5.0460606e-20,2.567586e-23,1.0899059e-20,1.00676514e-19,3.1957206e-21
문제/Noun,1.6224149e-18,3.4473665e-21,2.0747225e-16,7.519702e-19,5.721732e-20
만큼/Noun,4.236074e-17,4.8693638e-20,3.8627105e-20,1.862046e-18,1.0437045e-18
늘/Noun,6.130786e-17,1.5152342e-21,2.8310169e-19,1.876229e-17,1.430957e-18
브라우니/Noun,6.521637e-16,7.136692e-20,4.1294532e-21,8.191702e-17,1.2179786e-16
딱하다/Adjective,2.4457851e-17,6.88734e-20,1.2323439e-18,2.384575e-18,6.2872137e-19
운영/Noun,1.3840448e-19,5.2269072e-23,7.9112685e-20,6.1208916e-20,1.8660534e-21
맥주/Noun,1.7621437e-17,2.0568425e-23,1.8618486e-24,4.20296e-19,1.8224938e-20
작업/Noun,9.645864e-22,1.7859448e-24,1.0909328e-21,7.139987e-20,9.952009e-24
짜증/Noun,1.252956e-23,2.7900504e-27,7.246361e-22,2.416775e-24,3.4283406e-27
먹음/Noun,2.3211215e-19,3.5611405e-22,2.9936246e-23,1.0693029e-19,6.085802e-21
세상/Noun,5.48724e-18,1.2196626e-22,1.6846136e-18,5.004102e-19,1.0273426e-19
단골/Noun,6.818428e-21,5.173856e-25,8.941818e-22,1.0156367e-20,1.2431355e-21
밑/Noun,1.150815e-19,1.6624969e-21,1.7305601e-18,1.162742e-20,7.233606e-21
고객/Noun,6.7502595e-21,5.464061e-23,6.36463e-18,5.7537263e-22,1.6597079e-22
주/Noun,2.0371058e-20,5.8970646e-25,5.6414513e-21,5.1560942e-21,2.884022e-21
덜/Noun,4.0901965e-21,2.0810971e-22,1.1513797e-22,4.0551919e-22,4.256116e-22
담/Noun,9.086531e-18,5.584646e-21,7.378781e-21,2.7802477e-17,6.6543177e-18
뜨다/Verb,8.706788e-18,8.241949e-24,3.0751471e-21,7.432488e-20,3.2778884e-21
아무/Noun,2.9827757e-21,4.7822794e-25,5.005049e-22,2.721935e-22,4.708965e-24
이야기/Noun,1.04558105e-19,3.352353e-24,3.5476394e-20,6.001842e-19,5.2341707e-23
경험/Noun,5.492682e-19,2.801019e-23,1.5665462e-19,2.1160257e-20,1.0398328e-20
대기/Noun,2.843786e-21,8.682781e-24,5.803658e-21,4.1623151e-22,8.5392085e-23
로/Noun,2.6066637e-18,3.2134318e-22,8.733186e-21,8.858106e-20,4.62964e-21
인기/Noun,7.223104e-20,8.445235e-22,1.6342204e-21,2.9857255e-20,9.133741e-22
단맛/Noun,1.3724046e-19,4.1058738e-22,6.086307e-23,8.201346e-21,1.5576905e-20
해보다/Verb,5.1842336e-23,2.2688091e-24,4.772971e-23,3.290074e-23,2.2253711e-21
적/Noun,1.978186e-19,2.0263558e-20,1.7940205e-19,3.722336e-20,8.480622e-21
무조건/Noun,2.7629058e-19,3.55224e-22,1.5438764e-21,1.5400832e-20,5.25278e-20
옛날/Noun,1.44745e-17,8.2955174e-22,6.32913e-20,5.861608e-17,3.6754786e-19
시설/Noun,1.5804056e-19,1.698477e-22,2.5289238e-18,3.3174718e-16,5.8720505e-20
지하/Noun,1.9709099e-19,1.7212273e-22,1.1985038e-19,4.584048e-16,4.960062e-21
내리다/Verb,4.8655066e-18,7.324225e-24,7.3801843e-22,5.84008e-21,7.9471905e-23
낮다/Adjective,1.6789208e-21,1.4968844e-21,1.8137461e-22,4.606949e-21,1.5698094e-23
상태/Noun,8.4504325e-20,2.308025e-21,1.88306e-19,9.366916e-20,1.1356208e-20
토마토/Noun,8.757039e-21,4.519076e-24,2.6779035e-24,2.3731723e-22,2.7812272e-22
도시락/Noun,5.1725833e-21,3.3171147e-25,2.3089815e-24,4.9509486e-22,8.581071e-23
수가/Noun,9.4889014e-21,1.094375e-22,8.1153313e-20,5.647028e-21,5.691967e-22
