,커피/Noun,가격/Noun,직원/Noun,분위기/Noun
나가다/Verb,2.0896109e-20,2.0238875e-24,4.397807e-22,5.433178e-22
여/Noun,2.5788062e-15,3.1170153e-21,4.157357e-18,1.8281723e-16
마음/Noun,1.7495356e-20,9.3493946e-26,1.4153963e-20,5.4481713e-19
굳이/Noun,5.1820468e-20,2.013487e-21,3.4855406e-22,1.1874435e-22
명/Noun,1.2568341e-22,4.461521e-25,1.2664458e-21,8.294623e-24
완전/Noun,4.3223095e-17,1.479005e-21,9.071702e-19,2.5403827e-17
달라/Noun,1.7976083e-21,9.526057e-25,8.4093306e-21,3.5595767e-23
온/Noun,1.6596977e-19,4.9527563e-24,3.9475583e-21,9.705404e-21
무엇/Noun,2.6736984e-16,1.4461232e-20,2.8498963e-16,1.6410972e-15
그렇게/Adverb,5.2822435e-18,2.2828682e-21,3.800898e-19,2.746269e-21
아인/Noun,2.2177897e-18,1.901145e-22,4.0649954e-22,1.4110672e-20
티라미수/Noun,2.3106725e-17,4.14179e-21,4.1398948e-21,8.699314e-19
싸다/Verb,1.1248837e-15,2.3365614e-19,1.6686806e-19,6.026948e-17
당/Noun,1.6134031e-19,4.0818374e-23,1.6870917e-23,5.949819e-20
어떻다/Adjective,5.463301e-19,6.7700586e-23,1.6791417e-17,4.1768094e-20
초콜릿/Noun,1.4027613e-17,1.01550386e-22,7.892718e-23,7.6084835e-20
저녁/Noun,1.482474e-20,2.648855e-25,3.8915216e-20,1.5684588e-20
화이트/Noun,4.707756e-19,4.134475e-24,3.0035305e-23,6.43407e-21
달달/Noun,1.2637163e-18,1.0199184e-21,2.5987156e-22,1.7627463e-20
말차/Noun,3.3060227e-18,1.0492272e-22,2.3682526e-22,8.901497e-20
재료/Noun,6.1494914e-20,4.7377996e-22,1.4539305e-24,1.1524129e-21
지점/Noun,1.1139029e-19,6.9590083e-22,2.2740646e-20,8.1736746e-21
응대/Noun,1.4975877e-20,2.8043667e-22,1.84853e-16,1.3172771e-21
천/Noun,3.7014947e-19,1.6874685e-19,2.010966e-24,2.0140477e-21
가기/Noun,3.2825448e-20,2.3336082e-23,1.4301424e-20,1.6277214e-18
넣다/Verb,4.1566866e-20,2.921834e-24,6.043462e-22,4.7770327e-23
주차/Noun,1.1086458e-20,1.711995e-21,3.6712968e-22,2.3487136e-20
리뷰/Noun,4.0782286e-22,1.03031434e-25,5.650799e-21,3.198803e-23
옥/Noun,5.177477e-22,1.0282961e-25,1.5068386e-25,1.9770384e-20
와이파이/Noun,2.4803467e-21,8.6603895e-23,9.304203e-20,1.949285e-20
감성/Noun,4.8430216e-20,2.5962187e-22,1.6050275e-22,6.1270214e-17
꽤/Noun,4.246297e-18,5.50875e-21,1.5364148e-21,2.0838011e-19
쉬다/Verb,3.1799046e-18,1.9817178e-22,1.3107277e-18,9.428875e-18
물/Noun,3.0599848e-19,4.9311143e-24,2.9530212e-22,5.072941e-22
평일/Noun,1.2774657e-20,3.7757448e-23,1.741266e-20,9.299559e-19
그/Determiner,2.712668e-22,4.2436073e-26,3.6392128e-22,5.2874516e-23
건물/Noun,8.5824876e-21,2.9363466e-25,7.300856e-22,2.087652e-19
짱/Noun,2.6416319e-16,8.592741e-21,1.0678116e-18,5.964554e-17
깨끗하다/Adjective,1.7911348e-19,8.880591e-23,4.113376e-18,6.897921e-17
등/Noun,6.1297777e-18,1.831568e-20,5.2729572e-20,3.4308155e-18
굳다/Adjective,4.3343913e-19,2.0567729e-22,3.648514e-21,1.7416921e-19
홍대/Noun,4.210695e-19,2.246343e-22,7.366378e-21,2.0786495e-18
놀라다/Verb,1.3207258e-18,6.1401623e-20,1.0577814e-18,2.250542e-18
관리/Noun,3.708762e-25,3.7055058e-27,3.655685e-23,7.9017515e-24
이상/Noun,1.3185109e-18,1.8079108e-20,8.256654e-22,2.7286956e-20
높다/Adjective,1.8713876e-19,1.1908295e-19,4.987058e-22,7.22432e-19
둘/Noun,5.2990524e-19,7.296338e-24,9.430911e-21,6.733286e-21
바닐라/Noun,7.4517967e-19,2.2442774e-23,1.7562942e-22,3.6392837e-21
눈/Noun,2.5883204e-20,2.3038774e-25,2.5670025e-20,1.0624309e-20
들리다/Verb,7.164347e-21,6.0363544e-26,2.1267137e-22,7.582261e-20
맛집/Noun,5.6161417e-19,8.1508435e-23,5.136561e-21,1.5172898e-18
년/Noun,2.1201988e-24,1.8299683e-28,3.840649e-24,1.8792809e-24
아늑하다/Adjective,9.8627775e-17,1.7350268e-20,1.5665113e-18,8.228691e-13
길/Noun,1.8677556e-21,6.3189814e-25,1.3267923e-23,3.2982583e-21
일단/Noun,1.1322142e-13,2.2725234e-18,7.8665956e-16,4.9458175e-13
제대로/Noun,1.1983989e-19,9.80557e-24,6.557243e-21,6.132247e-21
마/Noun,5.2990264e-21,4.6776702e-24,8.489194e-22,2.8937526e-21
놓다/Verb,2.9694036e-20,1.1949941e-25,7.0777475e-21,2.2313726e-21
굉장하다/Adjective,6.712347e-17,4.1932827e-21,5.174805e-17,5.9369724e-17
맛보다/Verb,6.679387e-20,1.045503e-23,3.184631e-23,6.952852e-22
수플레/Noun,1.2729422e-19,2.5114438e-20,8.012485e-23,2.5776785e-20
류/Noun,1.7012958e-17,3.9622872e-19,3.4676665e-20,2.8839933e-18
예전/Noun,1.9534046e-17,8.7235676e-20,3.0950294e-18,2.3124712e-17
성비/Noun,8.255871e-21,1.949269e-21,9.058366e-24,4.7652463e-20
역시/Noun,1.7350642e-15,5.602615e-20,9.786643e-20,6.8402735e-17
버리다/Verb,1.0146879e-20,8.621322e-25,3.3182194e-23,2.6999904e-22
테라스/Noun,1.3026769e-19,6.03364e-25,4.319527e-23,4.560619e-18
편안하다/Adjective,5.068212e-18,4.2646805e-22,2.5315758e-20,3.264918e-16
한데/Eomi,1.6233017e-16,2.440788e-18,1.2926337e-18,1.4653399e-16
값/Noun,1.2274546e-19,3.436938e-15,9.828349e-22,6.622855e-21
팥/Noun,5.647247e-20,6.734153e-23,1.1770471e-24,2.858684e-23
쓸다/Verb,5.1618833e-20,3.06939e-23,9.180484e-21,9.3120455e-21
입/Noun,1.8809843e-20,8.60919e-26,5.0512287e-25,6.353604e-22
떨어지다/Verb,2.4523118e-20,4.222932e-21,5.4824816e-21,3.6134312e-20
산미/Noun,2.2906144e-21,1.0978194e-24,2.8879904e-25,7.257977e-23
웨이팅/Noun,3.1635674e-20,3.9333383e-21,1.1695253e-21,7.583014e-20
베이글/Noun,1.05809915e-20,2.1204739e-24,2.6391346e-23,3.2480382e-22
무슨/Noun,5.505434e-20,1.325427e-22,6.907939e-21,3.6188071e-22
다르다/Adjective,2.371641e-16,3.2068597e-20,1.9071966e-21,7.293634e-18
컵/Noun,1.4556484e-20,9.348977e-24,3.5346288e-21,4.390047e-22
서울/Noun,8.4310203e-19,7.7980876e-23,3.5432398e-22,9.504525e-19
들어오다/Verb,7.516002e-19,2.8252823e-23,1.5297211e-18,3.1590103e-19
먹기/Noun,8.424086e-24,3.844808e-26,4.548803e-26,1.6357533e-23
걸리다/Verb,4.4364588e-23,1.9673217e-24,1.3053556e-23,8.774275e-25
녹차/Noun,1.3707743e-16,1.3765087e-21,2.146062e-21,3.1151756e-19
기대하다/Adjective,2.930829e-18,1.88952e-21,7.7966385e-21,2.298845e-19
거리/Noun,1.2057343e-21,1.2963291e-23,3.326408e-22,9.0569685e-20
이용/Noun,4.7830556e-21,2.8535415e-23,2.468108e-19,1.3959586e-20
놀다/Verb,2.1322386e-21,3.6536877e-25,1.194746e-21,1.2181573e-20
절대/Noun,4.26954e-18,9.753975e-24,8.780186e-21,8.1645126e-21
난/Noun,5.2680135e-19,1.0993626e-22,1.4787971e-20,3.7842298e-20
기다/Verb,1.0207986e-20,1.2448908e-22,5.755861e-20,1.6488303e-20
남다/Verb,1.3905056e-20,4.144945e-24,3.394333e-22,3.5990518e-22
세/Noun,8.0559225e-21,5.420459e-25,2.3033623e-22,3.5278784e-22
재밌다/Adjective,2.895169e-19,5.5340162e-24,9.230183e-19,8.417207e-18
당근/Noun,6.39822e-19,8.2825176e-23,2.6775907e-21,4.7571845e-19
감/Noun,7.170459e-17,1.6223601e-17,4.490129e-21,2.916243e-17
책/Noun,1.3021092e-21,3.3055585e-24,4.8093413e-23,8.087703e-20
특이하다/Adjective,1.477463e-17,1.1376544e-20,3.5772496e-21,4.2456024e-17
추억/Noun,1.6795867e-21,5.3664228e-28,2.8681854e-24,1.883985e-21
모든/Noun,1.7801893e-18,2.302318e-21,2.2175749e-21,2.5552408e-19
심/Noun,2.3444361e-19,1.00967506e-22,2.5464469e-17,6.142086e-19
강하다/Adjective,4.2936146e-18,4.0669193e-22,4.0313885e-24,1.7211823e-21
여러/Noun,5.1845152e-21,3.3979811e-25,3.4895032e-23,5.4109224e-22
얘기/Noun,3.0076527e-19,1.8774966e-24,1.096977e-18,1.9909118e-19
함께/Adverb,5.239797e-18,1.6879222e-23,1.0586754e-22,2.9320464e-19
두다/Verb,4.1962772e-20,6.032717e-26,6.2830353e-21,8.4227464e-22
카운터/Noun,1.7375683e-22,6.45008e-25,2.7367785e-17,4.6544106e-22
생각나다/Verb,5.1085002e-21,1.4227487e-26,2.9815096e-23,4.581869e-21
레몬/Noun,7.048924e-19,7.7356824e-25,3.8335368e-23,9.289091e-21
신경/Noun,3.3424046e-25,5.068943e-27,2.129821e-24,1.8306774e-24
페너/Noun,1.2559321e-16,1.03131087e-22,1.7926855e-20,5.466905e-20
원래/Noun,5.0428497e-19,4.5551803e-24,6.151556e-20,3.249938e-20
취향/Noun,6.6999012e-21,2.6990802e-25,3.032865e-24,2.0985336e-20
손/Noun,1.2343241e-19,1.3911766e-24,3.853981e-21,5.4333235e-22
태도/Noun,5.3351887e-22,4.211696e-24,2.55489e-19,1.7912754e-22
과일/Noun,3.152991e-19,6.250851e-23,2.1456094e-23,6.28483e-22
기억/Noun,1.9374248e-19,5.3004136e-24,3.0816765e-21,4.058599e-21
속/Noun,3.996564e-19,1.9844563e-22,4.0246166e-22,3.5377083e-19
동네/Noun,5.146059e-19,9.920261e-21,1.5618078e-20,1.2771697e-18
전체/Noun,2.3867705e-16,2.3844749e-18,1.5312857e-18,2.8814574e-15
지금/Noun,5.6573627e-19,7.7768215e-22,4.545281e-19,3.7397443e-19
올라가다/Verb,2.0518459e-20,9.399828e-24,9.9681625e-23,2.3312795e-21
고르다/Verb,1.888684e-21,4.3046527e-25,5.697868e-25,2.5405882e-23
인스타/Noun,1.9995267e-20,7.494256e-23,1.0806436e-22,4.9419528e-20
혼자/Noun,3.472432e-20,3.1131026e-23,3.3884368e-20,4.981e-19
정신/Noun,5.1711016e-22,8.979448e-23,1.2547809e-19,3.4906004e-20
개다/Verb,5.94955e-19,1.904543e-21,2.438774e-21,3.6683346e-19
맘/Noun,1.372624e-20,2.2898081e-23,5.857681e-22,7.638819e-19
따로/Adverb,2.4793358e-20,3.2541882e-23,1.001394e-21,8.646436e-21
비주/Noun,2.0796753e-23,1.1236733e-24,2.8486985e-25,6.838426e-23
쾌적하다/Adjective,7.898819e-19,1.5064672e-22,5.9366976e-18,4.0293905e-16
짜다/Verb,2.1638553e-17,4.4998343e-21,7.3115135e-19,1.8611442e-18
기/Noun,1.3453414e-19,5.3075186e-23,1.3956184e-19,2.6930718e-19
찍기/Noun,3.4257346e-22,1.5881795e-24,4.67701e-24,2.1858635e-19
처/Noun,3.6184557e-18,6.503159e-22,5.602695e-22,1.1534257e-19
시원하다/Adjective,3.784683e-17,3.3259007e-22,1.2689231e-19,1.0338428e-16
사랑/Noun,1.4928366e-20,2.6161292e-24,3.0150801e-22,1.1192137e-20
그/Modifier,1.4034351e-18,1.9224316e-23,8.1473655e-22,1.2784558e-19
요구르트/Noun,5.1524625e-19,3.990695e-21,2.118059e-22,2.4441293e-21
단점/Noun,4.0680226e-21,9.372553e-22,9.538393e-23,4.9506886e-20
나서다/Verb,1.0737466e-18,2.1692126e-23,1.4305828e-22,2.3094344e-21
바/Noun,1.8565341e-19,1.1186492e-22,3.5282086e-18,3.837186e-20
이드/Noun,9.068347e-19,1.0194041e-23,6.1726823e-22,7.804349e-20
써다/Verb,1.5521164e-18,3.1367546e-22,9.825628e-19,6.8303317e-19
감사하다/Verb,5.336273e-20,9.6344545e-24,4.3861025e-19,6.0000503e-21
주인/Noun,3.1366156e-19,8.284283e-24,5.963081e-15,6.2363344e-19
잘/VerbPrefix,8.069986e-19,2.069135e-23,1.5560868e-20,2.649338e-19
실망/Noun,2.2679212e-21,4.1208748e-22,8.633866e-24,2.113973e-23
니/Modifier,4.499461e-19,3.379602e-23,4.7674755e-23,8.786217e-21
단/Noun,6.2713116e-18,2.3015465e-20,1.541935e-20,5.3558947e-19
교육/Noun,3.9345458e-25,1.0656505e-26,1.1733224e-23,6.103806e-26
탑/Noun,4.206019e-21,1.98951e-24,2.4072244e-24,2.2312884e-20
대다/Verb,3.3137734e-19,2.2627353e-22,8.0414384e-19,6.174408e-20
더럽다/Adjective,5.314432e-21,8.1832126e-23,5.792207e-19,7.645138e-21
싫다/Adjective,3.9289742e-21,2.1132072e-23,3.86485e-19,3.2049482e-22
방/Noun,3.7366624e-20,1.9988743e-24,5.652715e-22,2.4363855e-20
스타벅스/Noun,2.8392362e-19,3.4731837e-22,2.5238234e-20,1.09193665e-20
수준/Noun,3.3861563e-16,5.4481143e-17,5.987961e-19,8.471941e-17
느끼하다/Adjective,8.8296994e-20,7.94338e-21,4.361104e-22,1.8593247e-21
여유/Noun,7.923081e-19,1.4006304e-21,2.5638904e-20,1.5793283e-17
가능하다/Adjective,8.428898e-19,8.3795734e-23,4.0319946e-21,3.716419e-20
따다/Verb,1.0087455e-18,6.7629336e-23,7.7671016e-21,3.11666e-20
홍차/Noun,3.7339767e-16,1.2965813e-23,2.310984e-22,4.1478817e-19
고양이/Noun,5.2010816e-19,1.1060636e-22,1.0673467e-19,5.0249737e-18
양도/Noun,4.4788087e-19,4.5059836e-21,7.3936784e-23,4.3627703e-21
퀄리티/Noun,5.895171e-19,9.345693e-17,1.7426143e-21,6.9973514e-19
봄/Noun,7.840434e-18,7.2787764e-22,7.3856275e-20,1.5965237e-19
뭔가/Noun,2.7479015e-15,1.3735615e-20,3.518842e-17,5.7162685e-16
주변/Noun,2.340595e-18,4.944213e-21,3.395335e-19,2.438362e-16
그래서/Adverb,2.7654617e-16,1.2345266e-19,1.9483662e-17,1.5241019e-16
바뀌다/Verb,5.918125e-21,1.787199e-24,1.4026622e-21,1.4067555e-22
오/Noun,2.9429608e-19,7.821325e-23,5.63773e-21,1.35269e-19
밤/Noun,6.225116e-19,2.2506208e-24,9.798812e-22,3.733971e-19
광화문/Noun,1.0103685e-22,8.412894e-28,2.888475e-25,1.2477338e-22
계산/Noun,7.0004306e-24,1.295877e-26,3.7084866e-21,7.8601065e-26
만족/Noun,1.01585805e-19,2.4247285e-22,7.871975e-22,1.035262e-19
어울리다/Verb,1.3386747e-21,6.518392e-27,4.8919355e-25,2.5422778e-21
핫/Noun,4.097507e-20,1.3211055e-23,3.343286e-24,6.872849e-21
타다/Verb,1.3019125e-18,5.9821464e-24,4.3568946e-23,2.1124832e-22
사용/Noun,4.77779e-19,7.405816e-23,1.219426e-21,7.670878e-20
강추/Noun,8.012934e-18,5.4480173e-22,4.0616827e-20,3.052896e-19
팥빙수/Noun,2.0311339e-17,1.8775842e-22,1.809019e-23,4.5738756e-19
추가/Noun,9.6555145e-21,5.6841524e-23,3.358331e-24,2.845704e-23
그다지/Noun,5.341274e-16,1.2420376e-18,5.5461794e-20,2.89377e-17
남기다/Verb,2.647277e-19,5.445316e-22,3.6104136e-20,1.6296891e-20
마스크/Noun,1.5523122e-25,1.685641e-27,1.3574223e-23,4.2084334e-25
의사/Noun,4.8181034e-22,3.4607104e-23,4.139403e-22,2.1670736e-20
마스/Noun,7.872301e-23,2.4785624e-26,3.0135479e-24,1.7337415e-22
비추다/Verb,1.235503e-17,6.357143e-22,1.1070857e-21,2.037993e-19
플랫/Noun,6.5819065e-20,2.5893618e-24,1.0551063e-24,3.8973263e-22
파스타/Noun,7.7159097e-17,1.4844539e-21,2.6212978e-21,2.6239031e-18
문/Noun,6.7605096e-23,5.0222736e-25,1.7164755e-20,8.042653e-22
새롭다/Adjective,5.5817977e-19,5.6996747e-24,5.2742013e-21,1.0079184e-18
늦다/Verb,2.050498e-22,3.4808862e-24,1.8637478e-22,1.0709954e-22
평범/Noun,4.0416538e-19,4.890082e-20,5.415876e-23,1.3023298e-18
치다/Verb,1.6364866e-19,9.14266e-23,8.517485e-21,5.9835022e-21
이름/Noun,1.0699894e-17,4.417349e-20,8.738427e-19,6.6230635e-19
드리다/Verb,1.5306068e-20,8.840365e-24,1.4973136e-20,7.4341856e-21
야외/Noun,5.629904e-22,8.1420355e-26,7.435783e-26,4.4126502e-20
살짝/Noun,2.8791128e-18,1.4770155e-20,1.4188506e-20,1.5243735e-18
선택/Noun,5.075111e-21,1.2560708e-24,6.3428626e-26,1.3549191e-22
불편/Noun,1.370965e-20,1.5090735e-21,1.0672311e-22,1.5041431e-20
독특하다/Adjective,3.8073145e-14,1.0457126e-19,1.7207834e-19,5.8414604e-14
보내다/Verb,7.1117903e-22,5.375071e-27,1.8092534e-23,1.356741e-20
콘셉트/Noun,6.4072116e-18,9.984266e-22,1.0942092e-20,2.6589417e-15
그런데/Conjunction,1.7693368e-14,2.5534574e-19,5.4885406e-17,2.2303157e-15
서서/Noun,2.9902918e-23,3.7392051e-25,1.1151112e-25,8.8246887e-26
가끔/Noun,6.389638e-18,1.0354544e-21,1.5028944e-18,6.696436e-18
보/Noun,3.0711763e-19,7.8281306e-23,2.483455e-19,1.7073273e-19
앙/Adverb,1.1904791e-20,1.2988478e-24,3.709526e-25,6.490937e-23
솔직하다/Adjective,3.3043364e-16,8.8901e-19,1.7160573e-19,2.5979589e-17
마감/Noun,1.2443739e-21,1.9369249e-24,4.235857e-20,3.1948289e-22
대박/Noun,1.123288e-16,8.51073e-21,5.1949565e-18,5.2983704e-17
전혀/Noun,5.4994935e-20,4.6089455e-24,5.7143127e-21,1.4558919e-21
자기/Noun,2.9124558e-22,5.249116e-27,1.827549e-19,5.7571485e-23
신촌/Noun,2.1226979e-18,2.5669413e-22,4.2898776e-20,6.0974567e-17
수도/Noun,5.984396e-20,9.918743e-22,1.1405091e-20,2.9272507e-20
쪽/Noun,5.4497193e-23,1.1833765e-25,3.134277e-23,2.358715e-21
팔다/Verb,3.9023776e-18,1.104559e-21,1.5923176e-23,9.069134e-21
장사/Noun,1.2874204e-21,6.500966e-25,1.2915284e-20,2.483309e-22
노래/Noun,2.6968725e-21,8.7535524e-24,1.146875e-19,2.080109e-18
자리다/Adjective,7.3969654e-19,1.050991e-20,2.5657005e-20,3.513006e-18
입맛/Noun,2.3071954e-23,1.3226068e-25,5.4324204e-26,1.5311008e-23
매력/Noun,1.4558615e-17,9.59625e-21,1.5708068e-19,3.45372e-16
아침/Noun,8.595336e-20,4.779746e-24,6.1426186e-21,2.7503786e-21
어디/Noun,1.8719312e-18,8.283564e-22,1.4335961e-18,1.4087714e-19
인생/Noun,4.2633348e-20,1.0715863e-25,2.8632896e-23,1.2477012e-21
뒤/Noun,9.89086e-22,3.4187823e-26,2.1304428e-20,1.3281855e-22
심하다/Adjective,1.9617126e-20,3.9241513e-21,7.062724e-21,7.2526115e-22
조각/Noun,4.3142168e-19,1.7252438e-22,1.1850085e-23,3.7059553e-21
다니다/Verb,3.1200368e-21,1.7931343e-23,1.5230345e-21,1.67475e-21
생/Noun,5.3102224e-19,7.3488035e-22,1.9845338e-20,4.5590984e-21
나름/Noun,7.473435e-18,7.460492e-21,6.212987e-21,2.5338018e-17
게임/Noun,5.366421e-21,2.2134473e-24,1.9872156e-20,3.1886942e-21
이해/Noun,2.051515e-22,2.1265433e-22,1.8076273e-21,1.4954969e-22
잘못/Noun,4.153564e-20,1.0110769e-24,2.934206e-19,1.5944405e-21
실내/Noun,1.5763413e-19,9.8742224e-24,2.1466759e-21,1.5151332e-17
루프/Noun,4.7817784e-21,5.2197886e-25,1.6198513e-22,9.8927926e-20
데이트/Noun,4.6427825e-20,2.0651213e-23,1.6731911e-22,1.0653337e-18
신선하다/Adjective,3.714524e-18,5.212559e-20,5.45661e-21,1.5963116e-18
밉다/Adjective,3.4664102e-20,2.1359312e-24,5.954192e-23,1.4307366e-21
네/Noun,4.9032346e-19,1.3088251e-24,4.2480907e-20,4.7944015e-20
여름/Noun,2.42976e-19,5.3389936e-23,3.3206125e-23,7.647475e-20
예약/Noun,1.0203844e-23,3.6855495e-24,2.055871e-22,3.3113405e-23
살다/Verb,1.8914176e-20,5.0373407e-23,1.7808453e-21,4.3357597e-21
그저/Adverb,7.207663e-20,5.9220098e-21,1.4352511e-22,3.5001892e-19
햄버그스테이크/Noun,9.717408e-21,1.7847948e-23,1.4641207e-25,1.3628918e-22
강아지/Noun,9.36266e-21,7.064031e-25,2.598997e-19,5.3436672e-20
슴벅/Adverb,7.287035e-20,2.054256e-22,3.271558e-19,4.6495553e-19
위생/Noun,2.0126529e-18,1.7732675e-20,4.193849e-18,1.9317202e-19
녹다/Verb,4.543681e-21,1.4584086e-23,9.3199246e-23,3.2922712e-23
그레이/Noun,1.067195e-21,4.347294e-25,7.303129e-25,1.3616075e-23
코로나/Noun,3.0393671e-21,8.617639e-25,8.128588e-21,2.168918e-20
그대로/Noun,3.033126e-20,1.5831039e-25,4.9554803e-23,1.8825195e-21
올리다/Verb,2.76951e-20,1.0607655e-22,8.3583114e-23,6.630685e-23
식사/Noun,7.3352554e-20,6.779129e-23,1.4473463e-23,7.993017e-21
딱딱하다/Adjective,6.532002e-21,1.3497971e-21,2.9616612e-23,3.764125e-23
땐/Noun,2.0598686e-20,1.9064447e-24,4.6365528e-20,1.0673346e-19
널찍하다/Adjective,3.1886854e-19,8.0833985e-24,1.181782e-21,5.604035e-17
사다/Verb,2.0002162e-17,4.0021745e-21,1.015749e-20,4.4036533e-20
후기/Noun,1.5220006e-21,5.4215753e-25,7.639689e-20,7.883334e-22
우리/Noun,6.661527e-19,1.2502931e-21,2.0399374e-19,5.1480985e-20
바쁘다/Adjective,5.1974635e-22,2.0599722e-26,3.5488457e-19,1.1966343e-21
날씨/Noun,9.5040706e-23,2.711195e-25,2.4773737e-24,1.3609286e-21
영업/Noun,4.7064968e-20,5.846112e-24,9.60742e-21,2.8699522e-21
훌륭하다/Adjective,1.3388511e-17,3.5679567e-20,4.031858e-20,7.0731155e-18
세트/Noun,1.7417112e-20,3.1088895e-23,3.0984708e-23,4.4107463e-21
콘센트/Noun,1.0913865e-21,3.8125348e-24,8.874268e-21,5.58861e-21
멋지다/Adjective,1.0059407e-17,4.4332613e-23,1.5277959e-19,2.0055656e-16
가요/Noun,4.758307e-20,4.9396084e-23,7.310813e-20,3.544812e-20
에스프레소/Noun,1.5656355e-15,4.0128256e-23,8.362749e-22,1.7323227e-19
신기하다/Adjective,2.4715857e-18,1.670182e-21,5.3178387e-21,8.107388e-18
찌다/Verb,1.1861196e-18,4.2992063e-24,2.1648158e-22,2.5570728e-20
라면/Noun,9.645571e-22,1.3298369e-24,3.2495364e-23,4.147812e-22
대화/Noun,2.6190104e-20,6.2166016e-25,5.8183967e-22,9.181369e-19
만족하다/Adjective,2.1382857e-18,3.237894e-22,4.692516e-19,9.673516e-19
되게/Adverb,3.4036007e-16,1.4763734e-20,3.9557836e-16,4.957237e-16
스타일/Noun,4.7181477e-19,4.1679217e-23,2.0152995e-22,1.9262529e-19
할인/Noun,2.8746853e-21,7.655226e-23,6.303071e-24,7.8299216e-23
거기/Noun,7.975542e-19,1.3207225e-23,8.201503e-21,3.0761942e-19
추다/Verb,7.880151e-21,8.539474e-22,7.125776e-22,6.654619e-19
표정/Noun,1.4658761e-24,1.6834817e-27,3.0346635e-21,6.795382e-25
대/Modifier,4.834349e-19,4.9573736e-22,3.150717e-20,3.801563e-20
눈치/Noun,4.2115836e-24,1.314523e-26,3.7763558e-20,8.805496e-24
건강하다/Adjective,1.4180079e-18,2.2745134e-22,2.8973412e-22,1.6990379e-18
토스트/Noun,7.9275263e-19,1.1231687e-22,5.8512047e-22,2.497133e-20
부분/Noun,1.678819e-20,5.679477e-21,1.0779063e-21,1.2769784e-20
낮/Noun,2.616383e-21,4.688603e-24,9.372308e-21,1.5252977e-19
가깝다/Adjective,6.492634e-19,2.9049412e-24,7.421265e-21,1.199433e-18
보기/Noun,1.3001271e-16,5.6569242e-21,3.5793398e-20,1.2178718e-16
자몽/Noun,1.2606493e-18,4.2075894e-22,1.5647282e-22,8.911418e-20
바리스타/Noun,2.5099687e-20,5.68508e-25,3.4056622e-18,2.6693504e-21
얼그레이/Noun,7.9805336e-19,2.7803464e-22,3.0036957e-20,4.0474242e-19
인상/Noun,3.7706123e-20,6.2442766e-22,5.7494945e-21,3.4554523e-20
구경/Noun,9.62687e-20,2.8173489e-24,1.5230277e-22,1.2128866e-18
늘다/Verb,7.293025e-17,1.5680633e-21,4.1741674e-19,7.772745e-18
덥다/Adjective,1.4915849e-19,4.2548e-22,3.6768227e-20,4.565336e-18
굿굿/Noun,6.21661e-15,8.234015e-20,1.607672e-18,3.9936612e-15
샷/Noun,1.2108836e-20,3.7929926e-25,2.1737499e-25,3.051361e-25
한국/Noun,4.26656e-18,7.3292025e-23,1.0701232e-19,1.8997497e-18
지나가다/Verb,1.7020592e-20,3.329731e-24,7.3225275e-22,2.3407355e-20
겨울/Noun,3.9223444e-19,6.433471e-24,1.4370323e-21,2.755538e-19
오랜/Modifier,1.3592832e-22,1.1954807e-27,9.435713e-25,9.114802e-23
오후/Noun,5.33936e-23,1.1738086e-26,6.579166e-21,3.8433346e-22
크기/Noun,1.2998376e-19,9.890572e-19,4.2834466e-22,2.5087064e-19
참고/Noun,7.5890073e-19,3.8340654e-22,8.8707185e-20,3.1968437e-20
말투/Noun,4.3519777e-23,1.1938323e-25,8.129873e-18,3.505741e-23
폴/Noun,1.5414233e-20,1.5085534e-24,3.685058e-24,3.2585e-22
스럽다/Adjective,7.088019e-20,3.3537238e-23,1.2017995e-20,7.8966455e-20
문제/Noun,8.530858e-19,7.3053175e-21,6.452493e-17,2.5844837e-19
만큼/Noun,3.5258557e-17,1.9182005e-20,2.497057e-20,1.3014458e-18
늘/Noun,1.6702817e-16,5.6630566e-21,2.2518727e-18,5.4007875e-18
브라우니/Noun,1.2816127e-15,2.905745e-20,5.3185896e-21,3.065035e-17
딱하다/Adjective,5.016757e-18,2.4761034e-20,7.5812246e-19,8.3436736e-19
운영/Noun,5.736594e-20,3.537161e-23,6.195878e-20,2.760397e-20
맥주/Noun,2.5797876e-17,5.2135454e-23,1.9381147e-24,6.8048414e-20
작업/Noun,1.1354339e-21,2.1041246e-24,2.3882855e-21,6.964141e-20
짜증/Noun,2.2763861e-24,1.6059239e-27,3.0365725e-22,1.9336976e-25
먹음/Noun,1.1085871e-19,6.927301e-23,4.6758348e-23,4.2083802e-20
세상/Noun,8.310801e-18,3.1715753e-22,3.1929716e-18,3.7445978e-19
단골/Noun,1.6576911e-20,2.7963094e-24,2.6303328e-21,4.6169264e-20
밑/Noun,7.0420406e-20,1.4256914e-21,1.4236549e-19,1.4671539e-21
고객/Noun,2.0764748e-21,9.759557e-24,1.0865818e-18,5.593979e-23
주/Noun,1.6348643e-19,5.400501e-25,1.4853958e-19,5.5832397e-21
덜/Noun,8.652436e-22,1.845002e-22,9.0185135e-23,4.524685e-23
담/Noun,4.0173085e-18,1.7121976e-21,1.8716644e-21,7.674164e-18
뜨다/Verb,7.384818e-18,2.1788824e-23,7.013138e-21,8.423494e-20
아무/Noun,7.969448e-22,2.8141252e-25,1.3591846e-22,1.6714304e-22
