,커피/Noun,가격/Noun,직원/Noun,분위기/Noun
생각/Noun,1.3015371e-15,2.4949264e-18,3.0244735e-19,3.6600634e-17
정도/Noun,1.1192581e-17,2.837612e-19,3.9555043e-20,3.5398936e-20
하나/Noun,1.5624607e-16,1.2145527e-19,1.8290006e-18,3.7145928e-19
번/Noun,2.7411914e-22,3.0804126e-25,3.1003982e-23,1.1070804e-23
이다/Adjective,1.0799093e-16,7.190224e-20,5.7531174e-20,4.3575395e-17
티/Noun,2.1982998e-17,2.388383e-23,4.7161046e-23,1.3282571e-21
넓다/Adjective,1.1156761e-19,1.7737933e-22,7.01691e-21,5.2678584e-17
갈다/Verb,6.7823655e-22,1.1422224e-24,5.035748e-22,1.6489794e-22
말/Noun,1.1026031e-18,6.2789587e-22,1.3912983e-17,1.1128277e-20
말다/Verb,3.0010071e-18,4.4398953e-23,1.428197e-19,1.3386149e-19
불친절하다/Adjective,4.8597724e-19,4.2952787e-21,2.5525753e-16,2.2214295e-19
데/Noun,4.885114e-16,1.4429892e-18,4.3034386e-17,1.4233523e-17
딸기/Noun,3.6607023e-19,4.380043e-22,3.5456448e-23,1.1952474e-21
크다/Verb,2.3399444e-17,3.8243536e-21,1.8341838e-19,4.71486e-17
매장/Noun,1.998813e-17,4.2231916e-20,4.2667068e-18,6.7744186e-17
좋아하다/Adjective,4.263109e-19,3.6465862e-25,2.3810056e-23,2.3360076e-20
받다/Verb,4.7978204e-21,3.5327113e-23,8.0747903e-19,1.6877298e-22
손님/Noun,2.6876399e-21,7.380825e-24,5.3233708e-17,5.455275e-22
또/Noun,2.0239234e-19,3.3851224e-24,2.2463023e-20,3.6080887e-19
시키다/Verb,1.0283709e-17,4.385898e-21,4.889352e-21,6.2165907e-21
그/Noun,1.574769e-16,3.288258e-21,1.02944534e-19,2.6278683e-19
테이블/Noun,8.146647e-23,3.1052847e-24,7.5523185e-22,9.05019e-22
나다/Verb,1.9689496e-18,2.149133e-22,6.151268e-22,1.1262418e-20
함/Noun,8.160139e-17,2.1080979e-20,1.2188744e-18,1.3812124e-19
치즈/Noun,2.1610546e-21,6.6539643e-25,9.056703e-25,1.5280776e-24
원/Noun,6.621314e-21,1.1413921e-21,2.2107206e-25,7.3024365e-24
이/Determiner,1.5227579e-18,2.6180486e-22,1.1444266e-21,4.0935543e-20
추천/Noun,4.094152e-18,2.7082207e-23,1.009329e-21,1.2185345e-19
엄청/Adverb,4.141058e-16,2.282226e-19,1.6223792e-16,1.8821367e-16
앉다/Verb,2.9327483e-21,3.374806e-25,5.8094363e-22,1.9563991e-20
크림/Noun,3.7686155e-19,1.7086978e-24,1.5511816e-25,1.8599197e-22
내/Noun,3.2423892e-17,6.978624e-23,2.0276792e-19,8.298374e-20
중/Noun,1.5769223e-22,3.1399911e-27,1.5015882e-25,4.970624e-24
주다/Verb,2.5664468e-18,2.4150635e-22,3.5277221e-19,3.352258e-20
점/Noun,1.4175104e-18,1.9291704e-21,3.1740235e-20,1.8406183e-19
만/Noun,3.31299e-19,2.0414923e-21,8.1501635e-22,3.113357e-20
기분/Noun,4.048686e-21,5.432175e-25,6.871063e-22,4.205794e-21
밀크/Noun,2.048024e-18,1.7856267e-22,6.0794613e-23,3.3594634e-21
못/Noun,3.0227204e-19,5.9285555e-24,2.4989341e-20,2.2199363e-21
나/Noun,3.0033464e-16,1.049889e-20,1.4288516e-18,5.5134654e-19
줄/Noun,3.5359086e-22,2.269483e-25,3.7791873e-24,5.345981e-24
서비스/Noun,7.6802886e-17,1.2191488e-18,1.6516798e-15,3.3772153e-17
사진/Noun,3.1222857e-22,6.052471e-26,4.3167106e-23,4.1268053e-22
두/Noun,6.5648574e-19,7.634729e-22,6.1120026e-20,2.4784837e-21
가게/Noun,1.7373524e-19,2.5292867e-21,1.9036815e-18,1.2870448e-17
그리고/Conjunction,3.1698423e-13,6.702237e-18,5.01799e-15,9.381566e-15
조용하다/Adjective,2.3182832e-17,1.1015215e-20,7.3344235e-18,2.5777212e-14
만들다/Verb,9.599e-20,1.6765061e-23,4.955561e-21,1.6023673e-21
근데/Adverb,3.3324417e-14,3.439807e-17,6.777188e-16,1.744446e-14
맛없다/Adjective,3.9107375e-18,1.17460495e-20,3.6898176e-21,1.7868277e-20
아메리카노/Noun,9.099705e-12,6.555649e-19,1.2868361e-21,4.5359987e-18
건/Noun,5.7374114e-17,1.6432802e-19,2.8417283e-19,2.1587342e-18
불편하다/Adjective,4.2058103e-21,2.1911196e-22,1.3387514e-21,3.5418924e-20
왜/Noun,2.982197e-20,5.5331086e-24,1.5863914e-19,2.819728e-22
해주다/Verb,3.4279976e-21,2.1755085e-25,5.278169e-20,1.9027131e-21
샐러드/Noun,1.4961039e-19,1.2153521e-23,7.3869686e-23,1.7182959e-21
들어가다/Verb,2.643827e-18,2.615723e-22,9.001861e-19,2.2939833e-19
가보다/Verb,2.2156554e-21,1.4151721e-24,7.102519e-22,1.1400395e-20
처음/Noun,1.7361862e-19,1.3857807e-22,1.1348684e-18,2.4922797e-20
저/Noun,3.7337347e-16,5.824354e-20,1.3128294e-18,2.5798357e-18
음식/Noun,3.802731e-16,4.1535342e-19,2.7518324e-17,3.893341e-16
깔끔하다/Adjective,4.3326625e-16,3.8719e-21,4.9281374e-19,1.2628448e-13
시끄럽다/Adjective,1.1134223e-20,2.0987397e-22,2.6331253e-20,2.0562427e-19
개/Noun,2.484772e-19,1.2742417e-23,6.840964e-21,1.2118856e-21
자주/Noun,6.1402053e-21,1.6364326e-24,8.728386e-22,6.384052e-20
마시다/Verb,6.685821e-17,6.996537e-23,2.1674858e-21,2.8279297e-19
초코/Noun,1.4626249e-17,1.5941053e-22,1.0751503e-22,4.637948e-21
알다/Verb,3.8415963e-19,3.9442127e-23,7.450627e-20,8.627985e-21
리/Noun,9.915868e-22,1.6190395e-25,1.3740252e-24,2.6480912e-22
일/Noun,8.337402e-20,1.164352e-22,2.5237886e-17,1.0100806e-20
제/Noun,2.8180778e-18,1.4487106e-23,7.1031255e-19,2.1152107e-20
다시/Noun,3.915867e-21,1.5808961e-24,1.467753e-21,9.040597e-22
이렇다/Adjective,1.5763243e-18,4.9104524e-22,2.0286218e-20,1.031273e-19
차/Noun,2.236532e-14,5.82955e-22,1.4842905e-20,2.1517635e-17
보고/Noun,5.2496552e-20,6.3819173e-25,9.857749e-22,2.9777506e-21
뭐/Noun,1.5595716e-17,1.0728319e-21,1.036575e-17,5.748993e-20
되어다/Verb,8.540809e-22,7.471385e-25,3.3028157e-21,3.785123e-21
화장실/Noun,7.601223e-22,7.6593666e-25,8.367895e-20,1.9833532e-20
시/Noun,4.153582e-19,6.6891176e-23,1.2109251e-20,1.7197532e-19
달/Noun,1.2288272e-19,9.250573e-23,1.8070611e-22,1.2774163e-21
꼭/Noun,1.8845816e-21,7.241649e-26,5.0839585e-24,2.6675474e-22
양/Noun,8.0765734e-20,1.0721422e-18,4.2422567e-22,5.230263e-21
스콘/Noun,8.566421e-15,1.1502e-20,3.052976e-20,3.738306e-18
친구/Noun,4.617215e-17,3.594634e-22,4.687187e-18,3.012915e-17
잔/Noun,7.8547985e-19,2.3502607e-23,1.7656247e-22,1.3289159e-21
쏘다/Verb,4.9338504e-21,7.328644e-23,6.971087e-25,8.491818e-22
브런치/Noun,8.1612016e-16,3.09439e-19,4.824821e-20,3.5146849e-16
와플/Noun,1.78882e-19,6.996437e-21,5.419038e-23,3.2593614e-20
굿/Noun,2.3689723e-17,2.4136108e-20,1.1258847e-21,3.5886966e-17
유명하다/Adjective,2.1171005e-19,1.9109389e-22,5.8191265e-23,1.0976834e-20
